--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Sat Jun 21 22:57:40 2025
--------------------------------------------------------------------------------{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'pid': 8936, 'username': None, 'vms': 42.02734375} 

{'name': 'msedgewebview2.exe', 'pid': 8944, 'username': 'SIT-LT-378\\10774', 'vms': 12.58203125} 

{'name': 'conhost.exe', 'pid': 8952, 'username': None, 'vms': 6.546875} 

{'name': 'Dell.TechHub.Analytics.SubAgent.exe', 'pid': 9012, 'username': None, 'vms': 66.09375} 

{'name': 'Dell.Update.SubAgent.exe', 'pid': 9020, 'username': None, 'vms': 61.34765625} 

{'name': 'conhost.exe', 'pid': 9028, 'username': None, 'vms': 6.5859375} 

{'name': 'conhost.exe', 'pid': 9040, 'username': None, 'vms': 6.5703125} 

{'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'pid': 9124, 'username': None, 'vms': 62.01953125} 

{'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'pid': 9132, 'username': None, 'vms': 106.09375} 

{'name': 'conhost.exe', 'pid': 9140, 'username': None, 'vms': 6.546875} 

{'name': 'conhost.exe', 'pid': 9148, 'username': None, 'vms': 6.5703125} 

{'name': 'msedge.exe', 'pid': 9308, 'username': 'SIT-LT-378\\10774', 'vms': 59.44921875} 

{'name': 'AggregatorHost.exe', 'pid': 9468, 'username': None, 'vms': 3.41796875} 

{'name': 'svchost.exe', 'pid': 9808, 'username': None, 'vms': 4.2578125} 

{'name': 'Dell.TechHub.Instrumentation.UserProcess.exe', 'pid': 9820, 'username': None, 'vms': 31.51171875} 

{'name': 'klcsldcl.exe', 'pid': 9864, 'username': None, 'vms': 11.640625} 

{'name': 'python.exe', 'pid': 9960, 'username': 'SIT-LT-378\\10774', 'vms': 10.8046875} 

{'name': 'svchost.exe', 'pid': 9972, 'username': None, 'vms': 3.05078125} 

{'name': 'svchost.exe', 'pid': 9984, 'username': None, 'vms': 1.87890625} 

{'name': 'svchost.exe', 'pid': 10192, 'username': None, 'vms': 5.55078125} 

{'name': 'svchost.exe', 'pid': 10272, 'username': None, 'vms': 2.609375} 

{'name': 'svchost.exe', 'pid': 10344, 'username': None, 'vms': 3.17578125} 

{'name': 'Microsoft.Media.Player.exe', 'pid': 10356, 'username': 'SIT-LT-378\\10774', 'vms': 35.6640625} 

{'name': 'conhost.exe', 'pid': 10484, 'username': None, 'vms': 6.10546875} 

{'name': 'Code.exe', 'pid': 10628, 'username': 'SIT-LT-378\\10774', 'vms': 199.73828125} 

{'name': 'WmiPrvSE.exe', 'pid': 10660, 'username': None, 'vms': 16.01953125} 

{'name': 'WmiPrvSE.exe', 'pid': 10992, 'username': None, 'vms': 4.734375} 

{'name': 'powershell.exe', 'pid': 11144, 'username': 'SIT-LT-378\\10774', 'vms': 84.3984375} 

{'name': 'conhost.exe', 'pid': 11532, 'username': 'SIT-LT-378\\10774', 'vms': 1.35546875} 

{'name': 'chrome.exe', 'pid': 11700, 'username': 'SIT-LT-378\\10774', 'vms': 105.5859375} 

{'name': 'SearchApp.exe', 'pid': 12000, 'username': 'SIT-LT-378\\10774', 'vms': 198.64453125} 

{'name': 'slack.exe', 'pid': 12056, 'username': 'SIT-LT-378\\10774', 'vms': 81.484375} 

{'name': 'msedge.exe', 'pid': 12060, 'username': 'SIT-LT-378\\10774', 'vms': 2.1953125} 

{'name': 'msedge.exe', 'pid': 12248, 'username': 'SIT-LT-378\\10774', 'vms': 11.8125} 

{'name': 'StartMenuExperienceHost.exe', 'pid': 12272, 'username': 'SIT-LT-378\\10774', 'vms': 24.78125} 

{'name': 'SupportAssistAgent.exe', 'pid': 12772, 'username': None, 'vms': 411.83984375} 

{'name': 'AvastUI.exe', 'pid': 13172, 'username': 'SIT-LT-378\\10774', 'vms': 15.12109375} 

{'name': 'SearchApp.exe', 'pid': 13236, 'username': 'SIT-LT-378\\10774', 'vms': 41.2734375} 

{'name': 'svchost.exe', 'pid': 13244, 'username': None, 'vms': 9.28515625} 

{'name': 'svchost.exe', 'pid': 13272, 'username': None, 'vms': 2.8515625} 

{'name': 'chrome.exe', 'pid': 13396, 'username': 'SIT-LT-378\\10774', 'vms': 152.59375} 

{'name': 'slack.exe', 'pid': 14040, 'username': 'SIT-LT-378\\10774', 'vms': 11.171875} 

{'name': 'SecurityHealthService.exe', 'pid': 14072, 'username': None, 'vms': 7.69140625} 

{'name': 'svchost.exe', 'pid': 14080, 'username': None, 'vms': 6.03125} 

{'name': 'RtkAudUService64.exe', 'pid': 14256, 'username': None, 'vms': 2.41015625} 

{'name': 'svchost.exe', 'pid': 14376, 'username': None, 'vms': 11.6953125} 

{'name': 'Code.exe', 'pid': 14500, 'username': 'SIT-LT-378\\10774', 'vms': 14.625} 

{'name': 'DDVRulesProcessor.exe', 'pid': 14656, 'username': None, 'vms': 16.8203125} 

{'name': 'RuntimeBroker.exe', 'pid': 14752, 'username': 'SIT-LT-378\\10774', 'vms': 7.8125} 

{'name': 'PhoneExperienceHost.exe', 'pid': 14796, 'username': 'SIT-LT-378\\10774', 'vms': 69.85546875} 

{'name': 'avpsus.exe', 'pid': 15020, 'username': None, 'vms': 59.6328125} 

{'name': 'RuntimeBroker.exe', 'pid': 15044, 'username': 'SIT-LT-378\\10774', 'vms': 7.2265625} 

{'name': 'chrome.exe', 'pid': 15324, 'username': 'SIT-LT-378\\10774', 'vms': 24.9921875} 

{'name': 'slack.exe', 'pid': 15352, 'username': 'SIT-LT-378\\10774', 'vms': 15.18359375} 

{'name': 'slack.exe', 'pid': 15468, 'username': 'SIT-LT-378\\10774', 'vms': 10.609375} 

{'name': 'Code.exe', 'pid': 15516, 'username': 'SIT-LT-378\\10774', 'vms': 623.3515625} 

{'name': 'svchost.exe', 'pid': 15648, 'username': None, 'vms': 2.07421875} 

{'name': 'winlogon.exe', 'pid': 15672, 'username': None, 'vms': 2.7421875} 

{'name': 'msedge.exe', 'pid': 15916, 'username': 'SIT-LT-378\\10774', 'vms': 8.15625} 

{'name': 'vmcompute.exe', 'pid': 16028, 'username': None, 'vms': 2.55078125} 

{'name': 'WavesSvc64.exe', 'pid': 16064, 'username': 'SIT-LT-378\\10774', 'vms': 71.33984375} 

{'name': 'RuntimeBroker.exe', 'pid': 16148, 'username': 'SIT-LT-378\\10774', 'vms': 12.390625} 

{'name': 'FileCoAuth.exe', 'pid': 16176, 'username': 'SIT-LT-378\\10774', 'vms': 6.46484375} 

{'name': 'msedgewebview2.exe', 'pid': 16212, 'username': 'SIT-LT-378\\10774', 'vms': 67.4296875} 

{'name': 'Code.exe', 'pid': 16492, 'username': 'SIT-LT-378\\10774', 'vms': 86.6875} 

{'name': 'svchost.exe', 'pid': 16868, 'username': None, 'vms': 2.17578125} 

{'name': 'chrome.exe', 'pid': 17424, 'username': 'SIT-LT-378\\10774', 'vms': 61.71875} 

{'name': 'dwm.exe', 'pid': 17644, 'username': None, 'vms': 85.046875} 

{'name': 'AvastUI.exe', 'pid': 17884, 'username': 'SIT-LT-378\\10774', 'vms': 21.7734375} 

{'name': 'wlanext.exe', 'pid': 18044, 'username': None, 'vms': 1.515625} 

{'name': 'avpui.exe', 'pid': 18204, 'username': 'SIT-LT-378\\10774', 'vms': 10.0390625} 

